Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Jacks,EB,ID,07/09/2012,07/20/2012,"50,816",L,"$300,000",WF,07/20/2012,2012.0
Keith County Complex,RM,NE,08/02/2012,08/05/2012,"50,000",L,"$20,000",WF,08/05/2012,2012.0
Uvgoon Creek #1,AK,AK,07/03/2012,11/06/2012,"49,305",L,"$189,325",WF,11/06/2012,2012.0
Sheep,NR,ID,09/06/2012,11/06/2012,"48,626",H,"$18,000,000",WF,11/06/2012,2012.0
Seeley,EB,UT,06/26/2012,08/17/2012,"48,050",L,"$8,699,000",WF,08/17/2012,2012.0
Wood Hollow,EB,UT,06/23/2012,07/19/2012,"47,387",U,"$5,787,095",WF,07/19/2012,2012.0
Dry Creek,AK,AK,06/23/2012,11/15/2012,"47,154",L,"$15,000",WF,11/15/2012,2012.0
Bagley,NO,CA,08/18/2012,09/22/2012,"46,011",L,"$37,063,416",WF,09/22/2012,2012.0
Alpine Lake,RM,WY,08/09/2012,10/25/2012,"45,877",L,"$3,850,000",WF,10/25/2012,2012.0
Last Chance,RM,CO,06/25/2012,06/26/2012,"45,000",U,"$10,000",WF,06/26/2012,2012.0
Little Bear,SW,NM,06/04/2012,07/02/2012,"44,330",L,"$19,404,877",WF,07/02/2012,2012.0
Longhorn Complex,RM,SD,07/19/2012,07/30/2012,"43,639",L,"$4,600,000",WF,07/30/2012,2012.0
McGuire Complex,NR,ID,08/27/2012,10/29/2012,"43,621",L,"$24,741,628",WF,10/29/2012,2012.0
Dallas Canyon,EB,UT,07/27/2012,08/03/2012,"43,610",L,"$1,854,802",WF,08/03/2012,2012.0
Willow,WB,NV,08/05/2012,08/19/2012,"43,271",L,"$3,000,000",WF,08/19/2012,2012.0
Table Mountain,NW,WA,09/08/2012,10/19/2012,"42,312",L,"$195,000",WF,10/19/2012,2012.0
North Pass,NO,CA,08/18/2012,09/17/2012,"41,983",L,"$30,493,184",WF,09/17/2012,2012.0
Delphia,NR,MT,08/24/2012,09/01/2012,"40,653",L,"$2,450,000",WF,09/01/2012,2012.0
August Complex,NO,CA,08/17/2020,11/11/2020,"1,032,648",U,$115511218,WF,,2020.0
"SCU Lightning
Complex",NO,CA,08/16/2020,09/14/2020,"396,624",U,$69412351,WF,,2020.0
SHF Elkhorn,NO,CA,08/29/2020,09/09/2020,"391,493",L,NR,WF,,2020.0
Creek,SO,CA,09/04/2020,12/17/2020,"379,895",U,$193000000,WF,,2020.0
"LNU Lightning
Complex",NO,CA,08/17/2020,10/01/2020,"363,220",U,$94646381,WF,,2020.0
North Complex,NO,CA,08/17/2020,12/02/2020,"318,935",U,$112711950,WF,,2020.0
Pearl Hill,NW,WA,09/07/2020,09/15/2020,"223,730",U,$4241353,WF,,2020.0
Cameron Peak,RM,CO,08/13/2020,12/04/2020,"208,913",U,$133300000,WF,,2020.0
Lionshead,NW,OR,08/16/2020,11/12/2020,"204,469",L,$65440000,WF,,2020.0
East Troublesome,RM,WY,10/14/2020,11/25/2020,"193,812",U,$15682681,WF,,2020.0
Beachie Creek,NW,OR,08/16/2020,10/28/2020,"193,573",U,$29838526,WF,,2020.0
Bush,SW,AZ,06/13/2020,07/03/2020,"193,455",H,$11642634,WF,,2020.0
Cold Springs,NW,WA,09/06/2020,09/19/2020,"189,923",U,$3917998,WF,,2020.0
Mullen,RM,WY,09/17/2020,12/10/2020,"176,878",U,$42400000,WF,,2020.0
Castle,SO,CA,08/19/2020,08/24/2020,"174,178",L,NR,WF,,2020.0
SQF Complex,SO,CA,08/24/2020,12/17/2020,"174,178",,NR,WF,,2020.0
Holiday Farm,NW,OR,09/07/2020,10/27/2020,"173,393",U,$29100932,WF,,2020.0
Slater,NO,CA,09/08/2020,11/15/2020,"157,270",U,$55043900,WF,,2020.0
"Red Salmon
Complex",NO,CA,07/28/2020,11/16/2020,"144,698",L,NR,WF,,2020.0
"August Complex
West Zone",NO,CA,09/10/2020,10/14/2020,"140,944",L,$115300000,WF,,2020.0
Pine Gulch,RM,CO,07/31/2020,09/22/2020,"139,007",U,$35000000,WF,,2020.0
Riverside,NW,OR,09/08/2020,11/26/2020,"138,054",H,$20482000,WF,,2020.0
Archie Creek,NW,OR,09/08/2020,11/26/2020,"131,542",U,$40000000,WF,,2020.0
Whitney,NW,WA,09/07/2020,09/15/2020,"127,430",U,$3300000,WF,,2020.0
Dolan,SO,CA,08/18/2020,12/24/2020,"124,924",U,$74000000,WF,,2020.0
Bighorn,SW,AZ,06/05/2020,07/22/2020,"119,978",L,$44463612,WF,,2020.0
Bobcat,SO,CA,09/06/2020,11/27/2020,"115,997",U,$100000000,WF,,2020.0
Woodhead,GB,ID,09/07/2020,10/22/2020,"96,614",H,$11230000,WF,,2020.0
Badger,GB,ID,09/12/2020,10/10/2020,"90,143",U,$15800000,WF,,2020.0
East Fork,GB,UT,08/21/2020,11/19/2020,"90,000",L,$23523403,WF,,2020.0
"CZU August
Lightning",NO,CA,08/16/2020,09/21/2020,"86,509",U,$55900466,WF,,2020.0
W-5 Cold Springs,NO,CA,08/18/2020,09/13/2020,"84,817",U,$10300000,WF,,2020.0
July Complex,NO,CA,07/22/2020,08/18/2020,"83,261",U,$35000000,WF,,2020.0
Caldwall,NO,CA,07/22/2020,07/24/2020,"80,859",U,$34500000,WF,,2020.0
Mendocino Complex,NO,CA,07/27/2018,09/18/2018,"459,123",U,$220000000,WF,,2018.0
Martin,GB,NV,07/05/2018,07/21/2018,"435,569",U,$10000000,WF,,2018.0
Rhea,SA,OK,04/12/2018,04/26/2018,"286,196",U,$3800000,WF,,2018.0
South Sugarloaf,GB,NV,08/17/2018,10/10/2018,"233,458",L,$20000000,WF,,2018.0
Carr,NO,CA,07/23/2018,08/30/2018,"229,651",U,$162289294,WF,,2018.0
Klondike,NW,OR,07/15/2018,11/28/2018,"175,258",L,$104500000,WF,,2018.0
Camp,NO,CA,11/08/2018,11/25/2018,"153,336",U,$120000000,WF,,2018.0
Goose Creek,GB,NV,07/26/2018,08/10/2018,"132,220",U,$7850000,WF,,2018.0
Spring Creek,RM,CO,06/27/2018,09/06/2018,"108,045",H,$35000000,WF,,2018.0
Pole Creek,GB,UT,09/06/2018,10/08/2018,"102,191",L,$29100000,WF,,2018.0
Boxcar,NW,OR,06/21/2018,07/03/2018,"100,207",U,$3500000,WF,,2018.0
Grassy Ridge,GB,ID,07/26/2018,08/15/2018,"99,502",L,$3000000,WF,,2018.0
Woolsey,SO,CA,11/08/2018,11/27/2018,"96,949",U,$56943320,WF,,2018.0
Ferguson,SO,CA,07/13/2018,08/23/2018,"96,901",U,$150000000,WF,,2018.0
County,NO,CA,06/30/2018,07/14/2018,"90,288",U,$47000000,WF,,2018.0
Avian Complex,SA,FL,05/01/2018,05/29/2018,"82,461",U,$10781364,WF,,2018.0
Substation,NW,OR,07/17/2018,08/02/2018,"78,425",H,$4200000,WF,,2018.0
Grass Valley,NW,WA,08/11/2018,08/15/2018,"75,573",U,$875000,WF,,2018.0
Mallard,SA,TX,05/08/2018,05/20/2018,"75,530",U,NR,WF,,2018.0
Boylston,NW,WA,07/19/2018,07/23/2018,"71,200",U,$995000,WF,,2018.0
Dollar Ridge,GB,UT,07/01/2018,08/29/2018,"70,003",U,$22000000,WF,,2018.0
Zitziana River,AK,AK,06/04/2018,09/07/2018,"69,332",L,$2440527,WF,,2018.0
Sharps,GB,ID,07/29/2018,09/13/2018,"64,853",H,$9500000,WF,,2018.0
Delta,NO,CA,09/05/2018,10/07/2018,"63,311",H,$64429020,WF,,2018.0
Smith River Complex,NO,CA,08/16/2023,11/15/2023,"95,107",U,NR,WF,,2023.0
York,SO,CA,07/28/2023,08/19/2023,"93,078",H,NR,WF,,2023.0
Newell Road,NW,WA,07/21/2023,07/30/2023,"60,551",U,NR,WF,,2023.0
Pass,SW,NM,05/21/2023,08/31/2023,"59,833",L,NR,WF,,2023.0
Anderson Complex,AK,AK,07/29/2023,08/24/2023,"58,933",U,NR,WF,,2023.0
Delta,AK,AK,07/25/2023,08/31/2023,"57,395",L,NR,WF,,2023.0
Clear Creek Complex,AK,AK,07/27/2023,08/17/2023,"52,966",L,NR,WF,,2023.0
"2023 SRF Lightning
Complex",NO,CA,08/17/2023,10/24/2023,"50,198",U,NR,WF,,2023.0
