Name,Start_Date,Last_Report_Date,Size_Acres,Cost,Year,Duration_Days,Start_Month,Start_Year,Start_Day,Start_Weekday,Last_Year,GACC_EB,GACC_GB,GACC_NO,GACC_NW,GACC_NW/WB,GACC_RM,GACC_SA,GACC_SO,GACC_SW,GACC_Unknown,GACC_WB,State_AZ,State_CA,State_CO,State_FL,State_GA,State_ID,State_KS,State_MN,State_MT,State_NC,State_NE,State_NM,State_NV,State_OK,State_OR,State_OR/NV,State_SD,State_TX,State_UT,State_WA,State_WY,Cause_L,Cause_N,Cause_U,Cause_Unknown
Sulatna River,2013-06-21,2013-08-28,47588.0,7000.0,2013.0,68,6,2013,21,4,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Chisana River,2013-05-31,2013-10-23,46638.0,35776.0,2013.0,145,5,2013,31,4,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Owyhee,2013-07-01,2013-07-08,46559.0,1843801.0,2013.0,7,7,2013,1,0,2013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Gold Pan Complex,2013-07-16,2013-10-03,43429.0,11860878.0,2013.0,79,7,2013,16,1,2013,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Lime Complex,2022-06-15,2022-07-26,865625.0,12726992.0,2022.0,41,6,2022,15,2,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Hermits Peak,2022-04-07,2022-10-20,341735.0,330100293.0,2022.0,196,4,2022,7,3,2022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Black,2022-05-13,2022-11-10,325136.0,60190000.0,2022.0,181,5,2022,13,4,2022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Paradise Complex,2022-07-07,2022-08-11,275703.0,2782896.0,2022.0,35,7,2022,7,3,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Tatlawiksuk,2022-06-05,2022-07-22,229439.0,75965.0,2022.0,47,6,2022,5,6,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
NC HPAI 2022,2022-04-11,2022-04-19,212865.0,484012.0,2022.0,8,4,2022,11,0,2022,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bean Complex,2022-06-25,2022-08-06,212504.0,11656365.0,2022.0,42,6,2022,25,5,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Koktuli River,2022-06-08,2022-06-12,205862.0,7925100.0,2022.0,4,6,2022,8,2,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Hog Butte,2022-06-05,2022-07-06,204145.0,628717.0,2022.0,31,6,2022,5,6,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Double Creek,2022-08-30,2022-10-21,171532.0,39500000.0,2022.0,52,8,2022,30,1,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
East Fork,2022-06-02,2022-07-27,166760.0,6150000.0,2022.0,55,6,2022,2,3,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Poorman Complex,2022-06-28,2022-09-07,140355.0,7925100.0,2022.0,71,6,2022,28,1,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Moose,2022-07-17,2022-11-10,130205.0,98200000.0,2022.0,116,7,2022,17,6,2022,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cedar Creek,2022-08-04,2022-11-24,127311.0,133750000.0,2022.0,112,8,2022,4,3,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Aghaluk Mountain,2022-06-06,2022-06-14,115030.0,12726992.0,2022.0,8,6,2022,6,0,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Door Mountain,2022-06-09,2022-06-10,114294.0,500.0,2022.0,1,6,2022,9,3,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Chitanana,2022-06-19,2022-06-23,100246.0,1148818.0,2022.0,4,6,2022,19,6,2022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
